sigla_uf,sexo,grau_instrucao,faixa_etaria,media_salarial
AP,02,02,36-45,1647.0736936936935
AP,01,02,61-80,3126.6504123711338
AP,02,02,0-17,654.6
AP,02,02,26-35,1500.8919230769229
AP,01,02,26-35,1666.0127038626611
AP,02,02,18-25,1862.8900000000003
AP,02,02,81+,2305.41
AP,01,03,26-35,1915.1671755725195
AP,01,03,18-25,1669.645632183908
AP,02,03,18-25,1575.2099999999996
AP,02,03,61-80,2810.8779365079367
AP,01,03,81+,1551.1599999999999
AP,01,03,61-80,3095.4701960784305
AP,01,03,46-60,2470.1536241610738
AP,02,03,26-35,2458.153666666667
AP,02,03,46-60,2175.4575163398695
AP,01,03,36-45,2274.6740723981907
AP,02,03,36-45,2066.943777777778
AP,01,04,46-60,2403.5468502824847
AP,01,04,26-35,1700.9837600000003
AP,01,04,36-45,2034.3309983361059
AP,02,04,0-17,799.06936170212771
AP,01,04,18-25,1439.3779204892967
AP,01,04,61-80,4453.0229605263175
AP,02,04,36-45,1695.0007655502395
AP,02,04,46-60,1922.40074270557
AP,02,04,18-25,1381.709268292683
AP,02,04,26-35,1651.9470503597122
AP,02,04,61-80,3508.8762814070351
AP,01,04,0-17,739.67127272727294
AP,01,05,26-35,1771.582633563796
AP,02,05,18-25,1487.2630459770123
AP,01,05,0-17,3649.5453846153846
AP,01,05,46-60,2941.6453067814846
AP,02,05,61-80,3630.4694483734088
AP,01,05,18-25,1480.4443516209476
AP,02,05,26-35,1727.0725586854467
AP,01,05,81+,1779.98
AP,01,05,36-45,2112.9054221912056
AP,02,05,0-17,1809.4979999999998
AP,02,05,36-45,1908.2586440677971
AP,02,05,46-60,2590.948883610451
AP,01,05,61-80,4057.9614789687926
AP,02,05,81+,1768.7966666666666
AP,02,06,46-60,2656.1966829268276
AP,01,06,61-80,2540.3291666666669
AP,02,06,26-35,1668.693625866051
AP,02,06,18-25,1177.0389277389281
AP,02,06,81+,5785.73
AP,01,06,36-45,2092.225838095238
AP,02,06,0-17,694.36816000000022
AP,01,06,46-60,2436.3741307578007
AP,01,06,81+,2236.605
AP,02,06,61-80,2571.4786206896551
AP,01,06,0-17,784.23153846153866
AP,01,06,18-25,1418.1980447761193
AP,01,06,26-35,1739.0475734355048
AP,02,06,36-45,2029.737208835342
AP,02,07,0-17,2673.4683870967747
AP,01,07,18-25,1560.4552146831659
AP,01,07,81+,3038.67
AP,02,07,36-45,2045.1792445175433
AP,01,07,0-17,4106.6829596412554
AP,02,07,46-60,2718.1705553633215
AP,01,07,36-45,2343.9968571428572
AP,01,07,46-60,3203.8116706744536
AP,02,07,18-25,1531.32295263224
AP,01,07,61-80,5260.8060344827591
AP,02,07,61-80,5411.4492388847029
AP,01,07,26-35,1912.7837491479206
AP,02,07,81+,1303.53
AP,02,07,26-35,1778.9436521001267
AP,02,08,46-60,4143.2751442307672
AP,01,08,0-17,2691.926
AP,02,08,0-17,1983.825
AP,01,08,26-35,2552.5213063063075
AP,02,08,61-80,5597.2068421052636
AP,02,08,26-35,2122.0839096916307
AP,01,08,18-25,1861.5739368998634
AP,01,08,61-80,9164.5624999999982
AP,01,08,36-45,3497.0854741379312
AP,02,08,18-25,1670.4802319902321
AP,02,08,36-45,2921.0301353965178
AP,01,08,46-60,5668.4260913705584
AP,02,09,26-35,3219.879213836477
AP,02,09,18-25,2112.7787592788977
AP,01,09,26-35,4607.5794998528982
AP,02,09,0-17,4344.3156363636353
AP,02,09,61-80,11962.973893905193
AP,01,09,46-60,9850.31582832618
AP,02,09,46-60,8616.32153008299
AP,01,09,36-45,6409.6742767503329
AP,02,09,36-45,4418.8849759299783
AP,01,09,18-25,2727.2021468926555
AP,01,09,61-80,13039.492245922209
AP,01,09,0-17,4468.42530612245
AP,01,09,81+,7227.025
AP,01,10,36-45,11815.42066298343
AP,02,10,26-35,7042.4997894736825
AP,02,10,61-80,16592.585555555557
AP,01,10,61-80,17234.024761904759
AP,02,10,46-60,13200.096226415097
AP,01,10,26-35,7872.5125547445277
AP,02,10,36-45,10452.494973262035
AP,01,10,46-60,14506.231860465115
AP,01,10,18-25,1873.0
AP,02,11,46-60,18681.280108695646
AP,01,11,46-60,18602.8865
AP,02,11,26-35,10360.762
AP,01,11,26-35,10439.035945945945
AP,01,11,36-45,15090.307027027025
AP,02,11,36-45,13028.37294736842
AP,02,11,61-80,23113.116500000004
AP,01,11,61-80,23727.788888888885
BA,02,01,18-25,1552.8141603053436
BA,01,01,26-35,2508.4394611186895
BA,02,01,26-35,2511.2197640653367
BA,01,01,18-25,1802.4436271186439
BA,02,01,0-17,951.72000000000014
BA,01,01,0-17,1988.9207142857144
BA,02,01,36-45,2520.1549462365592
BA,01,01,61-80,1889.7896830601089
BA,02,01,46-60,2416.3067578772807
BA,02,01,81+,1615.56
BA,01,01,46-60,1879.7426411589902
BA,01,01,81+,1709.1675
BA,02,01,61-80,2502.2095945945962
BA,01,01,36-45,2376.8081423290205
BA,02,02,46-60,1674.5435961207577
BA,02,02,36-45,1572.9126197028063
BA,02,02,26-35,1515.852118847539
BA,01,02,0-17,2675.1227642276417
BA,01,02,46-60,2018.5957232294245
BA,01,02,18-25,1524.3712000985711
BA,01,02,36-45,1931.6730455557361
BA,02,02,0-17,1173.796315789474
BA,01,02,26-35,1761.3642331178155
BA,01,02,61-80,2240.1289780564252
BA,02,02,81+,1396.0785714285714
BA,02,02,61-80,1921.3108106001564
BA,02,02,18-25,1448.7452192066808
BA,01,02,81+,2031.8263636363638
BA,01,03,0-17,2501.2920000000004
BA,02,03,81+,1781.1375000000003
BA,01,03,18-25,1518.0858921015517
BA,02,03,26-35,1539.6579519006987
BA,01,03,26-35,1798.7171619343965
BA,01,03,61-80,2459.7749377593368
BA,01,03,46-60,2167.4593755912956
BA,02,03,18-25,1343.0520919540229
BA,02,03,46-60,1763.3463910525272
BA,01,03,81+,2470.6171428571429
BA,02,03,0-17,1390.1858333333334
BA,01,03,36-45,1996.9622080580621
BA,02,03,36-45,1672.1393618564186
BA,02,03,61-80,1997.2773429454176
BA,01,04,0-17,1534.7338800904977
BA,02,04,36-45,1588.9009346210994
BA,01,04,81+,2380.848125
BA,01,04,26-35,1809.763248827099
BA,01,04,46-60,2261.7746234831516
BA,02,04,61-80,2232.8068252730118
BA,02,04,0-17,774.49527272727289
BA,02,04,18-25,1262.3570241023122
BA,01,04,61-80,2599.2507162329612
BA,01,04,18-25,1532.7283620619896
BA,02,04,81+,2260.854615384615
BA,01,04,36-45,2068.2704872707363
BA,02,04,46-60,1788.2863177150944
BA,02,04,26-35,1470.9347817371936
BA,01,05,18-25,1697.7196917714596
BA,02,05,26-35,1673.8609691692836
BA,02,05,61-80,2425.4291963322539
BA,02,05,0-17,1202.7987058823533
