Renda_Total,log_renda,Sexo,Cor_Raca,UF,Escolaridade_Num,Escolaridade_Label,Idade,Setor_Economico,Area_Atuacao,Faixa_Etaria
50.0,3.9318256327243257,Masculino,Parda,Rondônia,10.0,Mestrado incompleto,39,Desconhecido,,36-45
2111140.0,14.56273911758901,Masculino,Parda,Rondônia,7.0,Médio completo,45,Desconhecido,,36-45
20.0,3.044522437723423,Masculino,Parda,Rondônia,10.0,Mestrado incompleto,59,Desconhecido,Comércio,46-60
1150.0,7.048386408721883,Masculino,Parda,Rondônia,7.0,Médio completo,55,Desconhecido,Serviços,46-60
20.0,3.044522437723423,Masculino,Parda,Rondônia,10.0,Mestrado incompleto,53,Desconhecido,,46-60
1130.0,7.030857476116121,Feminino,Parda,Rondônia,12.0,Doutorado incompleto,39,Desconhecido,Serviços,36-45
20.0,3.044522437723423,Masculino,Parda,Rondônia,10.0,Mestrado incompleto,23,Desconhecido,Comércio,18-25
1140.0,7.039660349862076,Feminino,Branca,Rondônia,10.0,Mestrado incompleto,59,Desconhecido,Serviços,46-60
2111130.0,14.562734380802748,Feminino,Branca,Rondônia,7.0,Médio completo,37,Desconhecido,,36-45
1.0,0.6931471805599453,Masculino,Parda,Rondônia,,,16,Desconhecido,,0-17
2111120.0,14.56272964399405,Masculino,Branca,Rondônia,7.0,Médio completo,51,Desconhecido,,46-60
2111130.0,14.562734380802748,Masculino,Branca,Rondônia,7.0,Médio completo,41,Desconhecido,,36-45
1130.0,7.030857476116121,Feminino,Parda,Rondônia,10.0,Mestrado incompleto,40,Desconhecido,Serviços,36-45
2111120.0,14.56272964399405,Masculino,Parda,Rondônia,7.0,Médio completo,45,Desconhecido,,36-45
1160.0,7.057036981697891,Feminino,Parda,Rondônia,12.0,Doutorado incompleto,51,Desconhecido,Serviços,46-60
1411160.0,14.15992332779836,Masculino,Parda,Rondônia,7.0,Médio completo,41,Desconhecido,,36-45
1160.0,7.057036981697891,Feminino,Preta,Rondônia,12.0,Doutorado incompleto,34,Desconhecido,Serviços,26-35
1150.0,7.048386408721883,Masculino,Preta,Rondônia,13.0,Doutorado completo,57,Desconhecido,Serviços,46-60
2111130.0,14.562734380802748,Masculino,Parda,Rondônia,7.0,Médio completo,40,Desconhecido,,36-45
2111120.0,14.56272964399405,Masculino,Parda,Rondônia,,,48,Desconhecido,,46-60
1150.0,7.048386408721883,Masculino,Parda,Rondônia,10.0,Mestrado incompleto,52,Desconhecido,Serviços,46-60
1121120.0,13.92983963556914,Masculino,Parda,Rondônia,10.0,Mestrado incompleto,46,Desconhecido,,46-60
20.0,3.044522437723423,Masculino,Parda,Rondônia,7.0,Médio completo,61,Desconhecido,Comércio,61-80
2111130.0,14.562734380802748,Masculino,Parda,Rondônia,7.0,Médio completo,60,Desconhecido,,46-60
1421110.0,14.16694951803272,Masculino,Parda,Rondônia,,,17,Desconhecido,,0-17
2121120.0,14.567455280481612,Masculino,Branca,Rondônia,7.0,Médio completo,48,Desconhecido,,46-60
1150.0,7.048386408721883,Masculino,Parda,Rondônia,12.0,Doutorado incompleto,30,Desconhecido,Serviços,26-35
2111120.0,14.56272964399405,Masculino,Branca,Rondônia,7.0,Médio completo,30,Desconhecido,,26-35
20.0,3.044522437723423,Feminino,Branca,Rondônia,7.0,Médio completo,38,Desconhecido,Comércio,36-45
1111120.0,13.920879973582496,Masculino,Parda,Rondônia,10.0,Mestrado incompleto,27,Desconhecido,,26-35
1140.0,7.039660349862076,Feminino,Parda,Rondônia,10.0,Mestrado incompleto,32,Desconhecido,Serviços,26-35
1111120.0,13.920879973582496,Masculino,Parda,Rondônia,7.0,Médio completo,32,Desconhecido,,26-35
1111130.0,13.920888973461897,Masculino,Preta,Rondônia,8.0,Superior incompleto,40,Desconhecido,,36-45
2321120.0,14.657560816599133,Masculino,Parda,Rondônia,7.0,Médio completo,31,Desconhecido,,26-35
2111130.0,14.562734380802748,Masculino,Branca,Rondônia,10.0,Mestrado incompleto,27,Desconhecido,,26-35
1150.0,7.048386408721883,Masculino,Branca,Rondônia,12.0,Doutorado incompleto,40,Desconhecido,Indústria,36-45
