Idade,Escolaridade_Num,Sexo,Cor_Raca,UF,Area_Atuacao,log_renda_real,log_renda_prevista
55,12.0,1,1,26,0,13.920881773564856,13.14258820400691
33,12.0,0,4,2,4,1.0986122886681098,6.688341365829592
67,10.0,1,1,13,5,14.567459994958734,12.986376655706984
39,11.0,0,3,17,2,1.0986122886681098,3.069538876321527
82,9.0,1,1,10,5,14.567459994958734,6.481390515065311
52,7.0,0,3,12,5,1.0986122886681098,3.408278741702286
79,9.319762933421956,1,4,18,1,1.0986122886681098,3.112722627864031
18,9.319762933421956,1,3,8,2,3.9318256327243257,3.0326615521893165
44,7.0,1,4,26,2,3.044522437723423,2.9212317030583175
41,7.0,1,1,12,2,1.0986122886681098,3.075339357158256
78,9.319762933421956,1,3,24,5,14.166984701153831,9.559056084659085
27,7.0,1,3,25,5,14.699745344328264,5.37400956640389
32,7.0,1,4,9,5,0.6931471805599453,3.519320349138543
46,7.0,1,3,8,5,14.5674694238463,3.549851521008352
57,7.0,1,3,15,5,1.0986122886681098,7.7711067901963835
57,7.0,1,3,24,5,3.9318256327243257,2.604227602822981
19,10.0,1,3,4,5,0.6931471805599453,6.989101228199661
26,10.0,0,3,15,2,3.044522437723423,2.3999850261693143
40,10.0,1,1,7,4,7.074116816197362,5.8304647166021
35,10.0,0,3,4,2,1.0986122886681098,2.7611199521423755
54,10.0,1,1,14,2,1.0986122886681098,2.776797751104809
39,12.0,1,1,20,4,7.048386408721883,6.709505150204646
16,9.319762933421956,0,3,17,5,1.0986122886681098,0.8889675199138977
34,10.0,0,1,18,2,2.5649493574615367,2.9653903791166285
32,9.319762933421956,0,3,24,4,7.048386408721883,3.5203801863664923
63,12.0,1,1,8,4,7.057036981697891,7.0584468621140495
32,10.0,0,3,15,4,3.044522437723423,6.4118691422308896
57,7.0,1,1,13,5,14.56272964399405,14.047692023364746
46,12.0,1,1,13,4,7.057036981697891,5.039521596065305
33,10.0,0,3,26,5,1.0986122886681098,0.8971504888365925
24,9.319762933421956,1,1,14,5,1.0986122886681098,2.1501340215071454
56,5.0,0,4,5,5,1.0986122886681098,1.1257384077746797
32,10.0,0,3,20,5,1.0986122886681098,2.8417909607598126
42,7.0,0,3,1,4,3.044522437723423,3.5825668605245187
23,10.0,0,3,10,2,3.044522437723423,3.1501647809313504
33,13.0,0,3,7,4,7.030857476116121,6.367345307736789
39,10.0,0,1,14,5,1.0986122886681098,1.4844447322366667
35,9.319762933421956,0,3,8,1,3.044522437723423,2.729876817855153
26,9.319762933421956,0,1,10,1,1.0986122886681098,3.4335722505382686
44,10.0,1,3,5,2,1.0986122886681098,3.124476526244129
40,13.0,0,3,26,4,7.048386408721883,6.766882655401491
55,10.0,0,1,3,4,3.044522437723423,6.759821829658924
52,10.0,0,3,26,5,3.044522437723423,5.7430884639415805
68,7.0,1,1,19,5,14.56272964399405,12.753630448354711
48,7.0,1,1,21,5,14.567459994958734,14.564869808397603
59,7.0,0,1,8,4,7.030857476116121,5.149693261908287
30,10.0,1,3,3,4,7.039660349862076,6.623620335126845
52,10.0,0,1,0,1,3.044522437723423,2.81316046700536
60,7.0,1,3,9,5,0.6931471805599453,7.197705837312438
47,12.0,0,3,4,2,3.044522437723423,3.1011922327168953
37,10.0,0,3,16,2,3.044522437723423,2.4614279395122485
38,10.0,1,1,5,2,4.394449154672439,1.9950228578351936
23,10.0,1,1,25,2,3.044522437723423,2.998110164299013
45,10.0,1,3,2,5,4.110873864173311,3.5662459322909354
18,10.0,0,1,15,1,3.044522437723423,3.0438413903638564
44,13.0,1,1,19,4,7.065613363597717,7.060609634526816
59,7.0,1,3,10,5,14.657560816599132,6.490103059517776
55,12.0,0,1,3,4,7.057036981697891,6.9654786035581795
49,9.319762933421956,1,3,4,5,3.9318256327243257,6.011439150253662
59,7.0,1,4,26,5,14.567455280481612,13.183170823988577
30,12.0,1,3,10,4,7.048386408721883,6.2779401964432076
61,9.319762933421956,1,1,16,5,12.26486971603863,10.602937416187007
39,9.319762933421956,0,1,14,4,7.039660349862076,4.23479093319019
66,7.0,0,3,4,4,3.044522437723423,5.874689230897985
46,9.319762933421956,1,3,16,4,3.044522437723423,6.835526163973931
42,12.0,0,1,8,2,3.044522437723423,2.791872536048066
47,7.0,0,1,23,5,3.044522437723423,14.022054656982867
30,11.0,1,1,13,2,3.9318256327243257,3.7616589254150288
51,13.0,1,1,20,4,7.074116816197362,7.060454857234483
17,9.319762933421956,1,0,5,2,3.9318256327243257,3.8611857589812733
62,5.0,0,1,0,4,7.030857476116121,5.866356925943978
32,7.0,0,3,0,2,3.044522437723423,3.3805718992564846
40,12.0,1,3,21,5,14.562735328161796,10.56099450068239
44,10.0,1,1,26,2,3.044522437723423,2.913090276694385
35,7.0,0,4,25,2,3.044522437723423,2.6080195826276467
50,13.0,1,3,2,4,7.048386408721883,7.053005123498623
30,10.0,1,3,25,2,3.044522437723423,1.7101597937985062
32,10.0,0,3,23,5,1.0986122886681098,10.303263609699247
47,7.0,1,1,14,5,14.567455280481612,9.031138065558121
46,7.0,0,3,24,5,0.6931471805599453,1.5289442202499124
20,10.0,1,1,23,5,14.657586665843755,11.538952170385608
52,10.0,0,1,23,2,4.02535169073515,3.0411966337020235
54,10.0,0,4,24,1,3.044522437723423,2.4246124562063787
48,10.0,0,4,6,1,3.044522437723423,3.1208126201564683
25,10.0,0,1,17,5,0.6931471805599453,1.7029417519215468
23,12.0,0,1,7,5,0.6931471805599453,3.0132149019468475
80,5.0,1,3,24,5,1.0986122886681098,0.9739604251773588
39,13.0,1,3,11,4,7.090909822079984,6.981780411577705
55,9.319762933421956,1,1,5,5,0.6931471805599453,4.862187454812909
18,9.319762933421956,0,3,11,5,0.6931471805599453,1.5253802274678978
55,5.0,0,3,1,5,0.6931471805599453,0.865419427378906
14,9.319762933421956,1,1,11,5,0.6931471805599453,0.8281380997665277
64,6.0,1,1,15,5,1.0986122886681098,9.731913902229048
40,7.0,1,1,18,2,4.394449154672439,3.1721182206853715
56,5.0,0,3,10,1,3.044522437723423,3.424263156340535
59,7.0,1,3,16,5,0.6931471805599453,9.061744673093125
51,7.0,0,3,23,2,4.110873864173311,3.070147490036845
25,9.319762933421956,0,1,12,2,4.394449154672439,2.766397081273386
24,7.0,1,1,14,2,3.044522437723423,3.09500940348739
18,10.0,0,1,21,2,3.044522437723423,2.737134046350965
40,7.0,0,1,3,5,1.0986122886681098,4.974728885516385
35,12.0,0,1,22,4,7.048386408721883,6.866808057733364
50,12.0,1,3,26,4,7.048386408721883,7.046810933549276
37,12.0,0,3,4,2,3.044522437723423,2.6588185353166303
37,10.0,1,3,5,5,1.0986122886681098,3.300427912872278
32,10.0,0,3,5,2,3.044522437723423,1.9124992240673089
50,15.0,0,3,10,4,7.065613363597717,7.054448434850614
15,9.319762933421956,1,4,16,2,3.713572066704308,3.2797146635325403
44,10.0,0,3,4,4,7.030857476116121,5.671139010934628
53,7.0,1,4,21,5,14.562748591094222,14.319856572876212
49,12.0,1,4,9,2,4.48863636973214,2.726629910116977
20,9.319762933421956,1,3,2,4,3.9318256327243257,3.0207612375731983
32,10.0,1,1,21,5,14.56272964399405,11.871541511530172
37,7.0,1,3,16,5,14.65758235768272,1.9652934056268623
71,12.0,0,3,6,4,7.057036981697891,6.073157675626265
30,10.0,0,1,12,2,3.9318256327243257,2.2375542647818
40,10.0,1,1,7,2,1.0986122886681098,3.272093713991146
17,9.319762933421956,1,1,7,2,1.0986122886681098,3.114448172727051
27,10.0,1,3,4,2,2.3978952727983707,2.2829778125491185
18,10.0,0,1,23,5,0.6931471805599453,0.9847795136357679
38,9.319762933421956,0,3,11,4,7.048386408721883,5.42390154872596
39,10.0,0,4,8,2,0.6931471805599453,2.9878805247507705
59,7.0,0,3,24,5,0.6931471805599453,2.472948152217142
49,12.0,0,1,16,4,7.048386408721883,7.040769000431237
20,10.0,0,3,5,4,3.044522437723423,3.428232489835588
75,8.0,1,3,4,5,1.0986122886681098,9.19636233919634
23,10.0,0,3,15,5,0.6931471805599453,1.6217705627781356
28,12.0,0,3,26,2,3.044522437723423,2.4181369164954316
25,9.319762933421956,0,1,11,4,2.70805020110221,6.300473467177709
50,7.0,0,4,0,5,2.833213344056216,2.119836498695285
51,7.0,1,3,1,5,14.567459994958734,7.669846898553007
36,10.0,0,4,24,1,3.044522437723423,1.838234158978522
28,10.0,1,3,3,2,1.0986122886681098,3.0480769424782563
20,10.0,0,3,9,5,0.6931471805599453,0.7670417456663513
43,12.0,1,1,12,4,7.048386408721883,7.017195909070644
20,10.0,0,3,1,5,0.6931471805599453,0.8540605138805384
67,9.0,1,1,8,5,14.094016911973217,9.215193313706239
47,10.0,0,3,16,2,3.044522437723423,3.0527885331180413
